,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,121.0,0.2688888888888889,"(7.0, 18.8099173553719)","(0.42857142857142855, 0.6141350812197207)","(5344.628099173556, 1140.0)","(0.8241996329526917, 0.17580036704730825)"
Б,116.0,0.2577777777777778,"(5.870689655172414, 18.405172413793103)","(0.3479064039408867, 0.6001783590963139)","(7161.9568965517265, 1433.0603448275865)","(0.833268473514125, 0.16673152648587491)"
В,139.0,0.30888888888888894,"(6.712230215827338, 17.834532374100718)","(0.408016443987667, 0.5805011163483006)","(7457.194244604328, 1948.4892086330935)","(0.79283916811357, 0.20716083188642997)"
Г,65.0,0.16666666666666666,"(3.753846153846154, 14.646153846153846)","(0.22948717948717948, 0.4705570291777188)","(3800.8615384615377, 396.0615384615384)","(0.9056304985337243, 0.09436950146627567)"
Д,151.0,0.24673202614379086,"(8.66225165562914, 20.264900662251655)","(0.45072068562524353, 0.5837848685530804)","(10489.40397350993, 2507.7748344370857)","(0.8070523710188762, 0.19294762898112378)"
Е,95.0,0.24358974358974358,"(4.7368421052631575, 18.03157894736842)","(0.3114035087719298, 0.5872958257713248)","(6534.905263157886, 738.4210526315793)","(0.8984754676785832, 0.10152453232141685)"
Ё,103.0,0.2641025641025641,"(4.834951456310679, 16.74757281553398)","(0.3195792880258899, 0.5430197522597925)","(8553.436893203883, 802.1941747572814)","(0.9142554714983967, 0.0857445285016033)"
Ж,195.0,0.2708333333333333,"(11.6, 17.42051282051282)","(0.4608695652173913, 0.5662245800176834)","(8593.517948717952, 5574.800000000003)","(0.6065305691065149, 0.393469430893485)"
З,112.0,0.24888888888888888,"(7.875, 17.428571428571427)","(0.49107142857142855, 0.5665024630541872)","(6455.4285714285725, 1266.25)","(0.8360136350811953, 0.16398636491880464)"
И,148.0,0.30833333333333335,"(7.5, 17.5)","(0.43333333333333335, 0.5689655172413793)","(6449.0, 2725.0)","(0.7029649008066274, 0.29703509919337256)"
Й,172.0,0.35833333333333334,"(7.5, 15.290697674418604)","(0.43333333333333335, 0.49278267842822776)","(11651.465116279069, 2863.0)","(0.8027485010943373, 0.19725149890566268)"
К,122.0,0.2711111111111111,"(6.040983606557377, 17.450819672131146)","(0.36007025761124123, 0.5672696438665913)","(5442.204918032787, 1386.7950819672137)","(0.7969255993604901, 0.20307440063951)"
Л,115.0,0.23958333333333334,"(7.6695652173913045, 16.443478260869565)","(0.4446376811594203, 0.5325337331334332)","(6702.382608695644, 2297.44347826087)","(0.7447235695375753, 0.25527643046242465)"
