,0,1,2,3,4,5,6,7,8,9
A,"('U', 0.91)","('B', 0.9)","('O', 0.9)","('H', 0.9)","('K', 0.9)","('X', 0.9)","('D', 0.89)","('A', 0.89)","('R', 0.89)","('Q', 0.87)"
B,"('B', 0.88)","('O', 0.87)","('U', 0.87)","('H', 0.85)","('K', 0.85)","('R', 0.84)","('D', 0.84)","('A', 0.84)","('X', 0.83)","('Q', 0.81)"
C,"('E', 0.88)","('C', 0.87)","('Z', 0.85)","('S', 0.85)","('G', 0.85)","('D', 0.83)","('X', 0.82)","('Y', 0.79)","('V', 0.79)","('A', 0.79)"
D,"('B', 0.88)","('U', 0.88)","('O', 0.88)","('D', 0.87)","('H', 0.86)","('X', 0.86)","('K', 0.86)","('R', 0.86)","('A', 0.86)","('Q', 0.83)"
E,"('B', 0.88)","('D', 0.88)","('U', 0.88)","('O', 0.87)","('X', 0.87)","('R', 0.87)","('H', 0.86)","('K', 0.86)","('A', 0.86)","('G', 0.83)"
F,"('G', 0.94)","('Z', 0.94)","('S', 0.93)","('V', 0.9)","('P', 0.9)","('X', 0.89)","('N', 0.89)","('Q', 0.88)","('D', 0.87)","('A', 0.87)"
G,"('B', 0.88)","('U', 0.88)","('O', 0.87)","('D', 0.87)","('X', 0.87)","('H', 0.87)","('K', 0.87)","('R', 0.86)","('A', 0.86)","('Q', 0.83)"
H,"('U', 0.9)","('H', 0.89)","('B', 0.89)","('O', 0.89)","('K', 0.89)","('A', 0.88)","('R', 0.87)","('X', 0.87)","('D', 0.87)","('Q', 0.86)"
I,"('I', 0.69)","('J', 0.63)","('E', 0.49)","('T', 0.49)","('D', 0.48)","('C', 0.46)","('B', 0.46)","('O', 0.45)","('X', 0.45)","('R', 0.44)"
J,"('J', 0.78)","('I', 0.66)","('T', 0.63)","('E', 0.56)","('C', 0.56)","('S', 0.52)","('Y', 0.52)","('D', 0.52)","('Z', 0.51)","('X', 0.51)"
K,"('U', 0.9)","('X', 0.89)","('K', 0.89)","('H', 0.89)","('B', 0.88)","('A', 0.88)","('O', 0.88)","('R', 0.88)","('D', 0.88)","('Q', 0.86)"
L,"('L', 0.85)","('C', 0.74)","('E', 0.7)","('Z', 0.68)","('G', 0.67)","('S', 0.67)","('N', 0.65)","('Y', 0.64)","('F', 0.63)","('T', 0.63)"
M,"('W', 0.88)","('M', 0.83)","('N', 0.78)","('Q', 0.72)","('P', 0.72)","('V', 0.71)","('K', 0.71)","('H', 0.71)","('G', 0.7)","('X', 0.7)"
N,"('K', 0.87)","('X', 0.87)","('H', 0.86)","('Q', 0.86)","('U', 0.86)","('A', 0.86)","('R', 0.85)","('G', 0.85)","('O', 0.84)","('S', 0.84)"
O,"('B', 0.89)","('O', 0.88)","('U', 0.88)","('H', 0.86)","('K', 0.86)","('D', 0.86)","('R', 0.86)","('A', 0.85)","('X', 0.85)","('Q', 0.82)"
P,"('G', 0.96)","('Z', 0.93)","('S', 0.93)","('X', 0.93)","('Q', 0.91)","('D', 0.91)","('A', 0.91)","('K', 0.91)","('H', 0.9)","('P', 0.9)"
Q,"('U', 0.92)","('B', 0.91)","('O', 0.91)","('H', 0.91)","('K', 0.9)","('A', 0.9)","('R', 0.89)","('X', 0.89)","('D', 0.89)","('Q', 0.87)"
R,"('U', 0.91)","('B', 0.91)","('O', 0.91)","('H', 0.9)","('K', 0.9)","('R', 0.89)","('A', 0.89)","('X', 0.89)","('D', 0.89)","('Q', 0.87)"
S,"('B', 0.88)","('U', 0.88)","('O', 0.88)","('D', 0.86)","('H', 0.86)","('R', 0.86)","('X', 0.86)","('K', 0.86)","('A', 0.86)","('Q', 0.83)"
T,"('T', 0.89)","('C', 0.82)","('Y', 0.8)","('E', 0.79)","('J', 0.77)","('S', 0.75)","('Z', 0.74)","('V', 0.72)","('G', 0.72)","('L', 0.7)"
U,"('U', 0.88)","('B', 0.87)","('O', 0.87)","('H', 0.87)","('K', 0.87)","('X', 0.86)","('A', 0.86)","('D', 0.86)","('R', 0.86)","('Q', 0.84)"
V,"('S', 0.92)","('Z', 0.9)","('G', 0.9)","('X', 0.89)","('V', 0.88)","('D', 0.86)","('E', 0.86)","('Q', 0.85)","('A', 0.85)","('K', 0.85)"
W,"('W', 0.87)","('M', 0.82)","('N', 0.76)","('Q', 0.71)","('P', 0.71)","('K', 0.7)","('H', 0.69)","('V', 0.69)","('G', 0.69)","('A', 0.68)"
X,"('U', 0.89)","('X', 0.89)","('K', 0.89)","('H', 0.89)","('B', 0.88)","('A', 0.88)","('D', 0.88)","('O', 0.88)","('R', 0.88)","('Q', 0.86)"
Y,"('S', 0.89)","('C', 0.89)","('Y', 0.89)","('Z', 0.88)","('E', 0.88)","('V', 0.87)","('G', 0.86)","('X', 0.84)","('D', 0.82)","('N', 0.81)"
Z,"('B', 0.88)","('U', 0.88)","('O', 0.87)","('D', 0.87)","('X', 0.86)","('R', 0.86)","('H', 0.86)","('K', 0.86)","('A', 0.86)","('Q', 0.83)"
